Nama,Review,Rating,Tahun
Mahar Azhari,"Sekarang ada menu kopi & donat disini yg ngga terlalu rekomen. Mending beli ayam Level2an aja.Disini Ngga ada mushola. Kalau mau sholat, bs jalan sdkt ke arah lampu merah.",4,2022
Nate Shunheng,"Tempatnya bagus cocok buat yg doyan makanan ayam yg ada level pedasnya,  minuman nya juga bagus. Asli indonesia,  parkiran luas abang tukang parkirnya juga asik. Bagus juga buat makanan cepat saji keluarga.  Cuma kalau jam sibuk rame banget,  kalau mau mesan bisa sampai 20 m.  So kudu sabar",4,2019
Fitriana Pramitasari,"Pelayanannya sebenarnya cepat, parkiran luas, petugas parkirnya cekatan langsung datang membawa payung melihat kami kehujanan membawa anak kecil. ",4,2020
Ahmad Ibrahim,"Buat kalian yang suka makan pedas yang ada level-levelnya ini tempat yang cocok. Ini adalah restoran cepat saji pavorite saya, menu yang paling pavorite di sini ada chicken fire wings, dan ada menu chicken lainnya untuk kalian yang tidak ",4,2019
Carlos Christo Samuel,"Tempatnya nyaman, tidak terlalu ramai. Pelayannya ramah dan cepat, biaya sekali parkir 5000 baik motor ataupun mobil sama. Ada 2 lantai dan bisa diluar. Bisa reservasi juga kalau mau ada acara ulang tahun atau yang lain",4,2020
Pramudia Andrianto,"Tempat parkir utk mobil terbatas, kecuali jika  datang pakai sepeda motor. Untuk tempat cukup luas dan terdiri dari dua lantai yg perkiraan bisa menampung 60 - 70 orang. Kebersihan cukup baik tapi layout penempatan meja dan kursi agak ",4,2018
Fildzah Ghaisani Habibati,Salah satu tempat makan yang berada di pusat kota depok. Dengan menu ayam pedas yang bervariatif dengan level tertentu serta harga yang terjangkau. Lokasi yang mudah di jangkau dan adanya tempat parkir yang cukup luas. Untuk kapasitas tempat makan cukup banyak sehingga pengunjung disini tidak perlu menunggu.,4,2019
Ridha Kinanti,Overall nyaman..LuasDan Pelayanannya cepat.. ,4,2024
Muhamad Yoga,Tempatnya agak panas padahal jualan nya makanan pedas,4,2020
Dilla,"Tempatnya selalu ramai sama antrian bapak/ibu driver ojek tapi untuk Dine in ngga begitu ramai malah bisa dibilang sepi...Pilihan yang tepat buat yang mau makan sambil lama2 ngobrol..Oh iya pembayaran masih terbatas cash dan debit BCA, masih belum support CC",4,2019
Sukma Riesdiana,"Tempatnya strategis dipinggir jalan margonda raya, udah gitu dia tempat makan sendiri bukan diruko2 gitu, untuk area parkir mgkn masih muat buat beberapa mobil dan motor bisa muat 10lebih kalo ya, ada tukang parkir nya, tempat termasuk luas ada 2lt, klo lg sepi lt atasnya ditutup",4,2022
Dwi Rahmawati,Suka banget sama fire wingsnya endolitaaa Cuman emang saya gabisa mkn pedes jdi paling banter smp level 2 itu pun smpe nangis  buat cakenya jarang ada yg saya suka rasanya,4,2022
Herry,"2x kesitu ngg pesanan lebih dari stgh jam, ga kyk richeese cabang lain, padahal cm pesen 1 paket burger, ayam original, kentang pom2",4,2023
Reni P Prabaningrum,"Bintang 5 untuk rasa ayam gorengnya, tapi bintang 3 untuk ukuran ayam gorengnya, karena rasanya terlalu kecil sekali untuk satu porsi makan, jadinya harus beli 2 porsi ayam. ",4,2021
Hadi Purwiyanto,"Fried Chicken berbalur keju disukai anak-anak kami, tetapi untuk minuman kurang bervariasi biasanya anak-anak memesan Pink Lava mungkin warnanya yang nge-pink menarik perhatian anak-anak. Kalau untuk orang dewasa boleh dicoba ayam yang Fire Chicken level kepedasan biasa di request.",4,2017
Alamsyah Tialambanua,"Menunya lumayan enak. Sayangnya toilet dan wastafel di lantai satu tidak difungsikan, akibatnya jadi kurang nyaman bagi yang bawa anak seperti saya, yang harus naik-turun kebawah cuma buat cuci tangan.",4,2019
Sumayyah Dliyaul Millah,Seperti restoran richeese yang lainnya.. Untuk harga tidak beda jauh dengan harga di KF*.. Masih ada menu pink lava juga yang katanya di richeese yang lain sudah ngga ada.. ,4,2020
Marisa Ghaisani,"Ac yang menuju toilet dan wastafel bocor, sehingga ada ember dibawah ac dan cukup menghambat akses keluar masuk wastafel  ",4,2023
Arinaldo Edo,"Makanannya sih enak, tapi sayang pelayanannya masih agak kurang masi kalah jauh ama yg sebelah, untuk ukuran parkir udh lumayan luas tinggal internetnya aja tolong diperkuat ya :)",4,2019
Auzan laksono,"Mantap, enak tempatnya karena besar dan adem, sayangnya kl udah jam 2an kadang2 kasir yg layanin cuma 1 org doang jadi ngantri panjang sih",4,2019
Tony Hendroyono,"Alternatif menikmati ayam goreng tepung dengan pendekatan bumbu keju. Gerai di Margonda ini terbilang kecil, sehingga tidak bisa menampung customer dalam jumlah banyak. Beruntung disediakan lantai 2 untuk mengakomodasinya. Parkir cukuplah, ",4,2019
Chay Shemi,"Fried Chicken ala Richeese Factory, bertabur bumbu bbq plus keju khas. Patut dicoba yg mau merasakan sensasi lain dari fried chicken.  Lokasi strategis, Ada smoking area di lantai atas; parkir kurang luas.",4,2017
Nurfita Srilestari,Menjual fried chicken original maupun dengan bumbu pedas.Level kepedasan mulai dari 1-5 (5 paling pedas). ,4,2018
Bayu Arizona,"Dari segi tempat mudah diakses karena berada di jalan Margonda, untuk parkiran cukup luas. Namun kebersihan sangat kurang, harus ditegur dulu baru dibersihkan.",4,2020
Hafiz Ichsan.,"Menurut saya, Outlet yang ada dimargonda lebih luas ketimbang yg ada di kelapa 2 Depok.Karena dilantai atas bisa dipakai untuk reservasi; Ulang tahun, Arisan, dan lain lain. Untuk Lahan parkirnya juga luas.",4,2019
Pophy Anita,"Tempatnya lumayan enak, tp saat saya & anak2 akan beli air mineral tdk tersedia. Jd kami terpaksa cari/beli diluar.",4,2020
Dhani Hartanto,"Tempatnya standard seperti outlet yang lainnya.. pegawainya nampak kurang, jadi sering kali order butuh waktu.. dan banyak meja-meja yang belum dibereskan.Kalau bukan karena makanannya yang enak, mungkin bintang 3 saja",4,2018
sukma wahyudin,"Ayamnya enak, khususnya chicken firenya... lokasinya strategis tp jumlah kursinya di lantai 1 kurang banyak. Ada sih di lantai 2 tp ngga semua orang mau makan di lantai 2... over all sih recomended lah....",4,2018
Aan Setyawan,"Selama pandemi, petugas kebersihan gak ada, tempat panas ac nya kayak rusak, lebih luas recheese deket UI.",4,2022
Meta Meta Septika Adriani,"Tempatnya di depan jalan, tapi sedikit susah di lihat jika arus kendaraan sedang normal, pelayanannya ramah, sedikit susah menemukan tempat cuci tangan karena berada di belakang, tempat parkir luas",4,2019
Agus Wiyono,TOLONG DONG KHUSUS OJOL PARKIRAN NYA FREE KAYAK TEMPAT LAEN....TUKANG PARKIR YANG DI DEPAN PADA SONGONG KALO AMA OJOL....ARGO GAK SEBERAPA MINTA PARKIR MAKSA,4,2023
Nayasa,"yah sama kayak ayam richeese lainnya. tpi enaknya tempat luas bgt. tempat makan luas. tempat parkir luas. cmn ga tau kenapa yah, pelayanannya lelet bgt. hahaha. lamaaaa bgt antrinya jalan.",4,2019
Volney Idala,lumayan gede tempatnya.. parkir motornya jg ga susah...kelelahan karena kemacetan jadi mampir dlu istirahat sebentar.,4,2020
Adul Zdul,Tempat makan bisa indoor dan outdoor... ayam yg pedes rasanya mantap dah......,4,2024
Harry Afriandi,Parkiran lmyn lega. Rasa dan harga seperti ricis lainnya. Buat family ok. Outdoor tablenya jg lmyn byk .. enak buat smokers.,4,2019
Abi Bakri,Lumayan asik. Tukang parkir pun ramah. Cuma sayang sayanya aja yg ga suka pake kejunya hehehe,4,2019
chitra amanda,"Suka sam sausnya ada kejunya g bikin enek, parkirnya juga lumayanlah untuk ukuran ruko di margonda",4,2019
Camila the Blue cat,"Tempatnya biasa saja,  tp ayamnya jg minumannya enak, harga jg terjangkau,  byk varian minumannya yg tdk bersoda",4,2020
Zaenal Effendi,Hems... Ayam lagi dech.... #richeesefactory #depok #jlmargonda,4,2021
Irwan Ardi,"Parkir enak, makanan enak, cuma tempat duduk di teras depan berantakan, gak diberesin bekas makanan orang.. mau duduk dan nyantai jadi jijik",4,2021
Arfian Rizki Pahlevi,"Menu yg ditawarkan enak terutama keju nya, pelayanan cepat, lokasi mudah di cari, tempat nyaman serta parkiran luas.",4,2018
dendy ahmad sugandi,"Dr awal buka smp sekarang , ruangan nya panas, pelayanan lamaaaaa...kemajuan nya bisa menggunakan kartu debet n kredit",4,2020
Anggi T Nugraha,Terdapat parkiran cukup luas. Buka sampai jam 11 malam tapi lantai 2 ditutup dari jam 9 malam,4,2019
Eka Cakra Anugrah Wicaksana (Akirayjin),Parkiran rada sempit klo rame. Tempatnya lumayan nyaman hanya saja klo rame yg ngantri mengalangi jalan klo mw lewat.,4,2019
Doni Rhdn,Resto daging ayam goreng dengan saos pedas dan tambahan keju yang nikmat.... Area meja bagian belakang terasa panas... Karena ac tidak dinyalakan....,4,2020
Diaz Septian,Makananya luar biasa menantang pedasnya di tambah dengan manisnya saus keju sebagai dipping di padankan dengan segarnya minuman frutaria sungguh luar biasa.,4,2017
Muhamad Iqbal Fadilah,"Tempatnya kecil dibandingkan richeese ditempat lain, suasananya cukup nyaman dan lokasinya strategis dimargonda. Parkirannya cukup banyak tapi tempat ini ramai dikunjungi terutama malam hari.",4,2017
Ridho Rizqullah Z,"Terkadang melihat ada sampah berserakan di lantai, tempatnya enak ada lantai 2 tapi jarang digunain sepertinya",4,2020
Agus Widodo,Tempatnya luas dan ok buat santai harga ya biasa lah sama dengan fast food lainya,4,2021
dini Nur faridah,Pelayanannya kurang baik,4,2021
Kepin Helmy,"Fire chicken nya favorite banget Tempatnya luas ada 2 lantai, Tempat parkir untuk mobil terbatas, dan lokasi nya ada pembatas jalannya",4,2018
Aninda Syifa,"Suasananya terlalu sepii, mungkin bisa di tambahin lagu lagu?",4,2024
Desya Hoscha,Kasih senyuman kesetiap cust jangan menekuk muka terus walau posisi restorannya lagi ramai . Anda senyum kami pun ikut tersenyum  ,4,2020
Arman Restaboy,"Untuk para pecinta pedas, tempat ini adalah tempat yg cocok karena menyediakan makanan pedas. Restaurant siap saji yg menawarkan makanan pedas dengan harga terjangkau",4,2019
Trilianna Marga,Ga enakkkkk bedaa sama cabang lainya pait ga pedes sama sekali,1,2024
Rayman Mahesa,Speed nya lama estimasi waktu yg di berikan 30menit tapi 1 jamKurang crew nya sampe selama iniSaran: crew bagian dapur di tambahin.,1,2025
Angga Angga,"tak way.saya ojol setahu saya ni resto makanan siap saji sperti resto yg lainya seperti KFC..tp kenapa qakti tunggu bs lama sekali padahal pagi hari blm ada pelangan loh..,",1,2024
Dio Rafli Maulana,Pelayanan lama karyawan banyak padahal resto lagi sepi ,1,2024
Hendrik Saeful Hikmah,"KUSUT INI MEN RESTONYA LAMA , DITANYA MASIH NYOLOT , wkwkwk kadang kadang ya kali nunggu sejam lebih udah kaya taun jebots",1,2025
Kares Tian,"Niat biar cepet beli makan takeway ternyata lama oy, gak kaya di toko sebelah.",1,2025
Nur Ulfa,kasir ny gjls udh msen dr jam 1an pagi smpe mau jam 4 pagi blm jg di bikin',1,2025
ayu azka,"Makanan siap saji, tp lama? Lebih cepat pecel lele yg harus di masak dlu",1,2025
Umay May,"Saus Keju nya ga dikasih, kirain mh kudu diminta, ternyata lupa, bilang maaf tp makanan udah abis, yg jaga nya klo cape kerja istirahat, gantian gt ke, minimal makan dulu biar fokus",1,2023
Revana Iskandar,Servis lama bisanya estimasi 1jam tolong crew nya di perbanyak,1,2025
Burhan Sidqi,"Nomor pada struk tidak terdapat di monitor, nomor tidak dipanggil, harus tanya ke kasir.Bekas makan tidak dibersihkan",1,2024
Rey mysterio,"Kacau pelayannya, pdhl lg ada diskon dr wondr BNI di tgl 5,6,7 juni sm tiap hari minggu. Ini dtg tgl 6 sabtu subuh2 malah bilangnya promo ga berlaku hr sabtu tgl 6. Pdhl di tmpat lain dapet (fore, shihlin, dan lain lain)",1,2024
Rusdi Angga,Untuk pelayanan food online tidak beraturan & karyawan nada bicaranya tidak sopan,1,2025
Irman,Kenapa klo ojol pelayanan.a lelet..beda sm custumer yg beli langsung..????payah..,1,2024
Shifa Tryanawati,Kalo customer belom bnr2 pergi meja jangan dulu diclear up Perhatikan customer yang bnr2 pergi atau hanya sekedar ke toilet Saya tinggal ke toilet aja masih kepedesan minuman saya udh di buang mana yang clear up mukanya jutek anjir,1,2024
MJM Store,"Pelayanannya tidak baik, antri duluan dilayani belakangan.Ayamnya asin, rasanya biasa saja.Sambel dalam sachet, sulit dibuka",1,2020
Samsung23 Nia,Meja kudu bersihin sndiri kah? Qt mau makan g ada meja yg bersih. Masih numpuk bekas makanan orang lain. Kan jiji.Makanannya padahl lumayan. Tp service nya g ada. ,1,2024
Dwi Fajar Dandy Saputra,"Pesan paket ayam combo, take away, tp nunggu dari order sampai dikasih ayamnya 34 menit, malah pesanan orang lain dulu selesai, mohon ditingkatkan lagi Pelayanannya",1,2024
Hamdan Hasan,Terlalu lama menyipin mkn nya  bisa 30 menit 4 menit ituh lama karywn nya mentigin mkn di tempt dulu yg bugkus di lamin harus nya jga kaya gituh kita jga sama ajh beli hrus sesui antrin bos,1,2024
olay mada,"Coba tolong yg pengemisnya jgn di tangga or yg dagang nya,.tkut nnti gk lihat ketabrak orang turun naek,.klo bisa ksih tempat duduk aja di bwah tangga",1,2024
puguh panambang putro,"Sekian lama kembali makan disini, kebersihan sudah jauh lebih baik, namun ada beberapa hal yang perlu diperhatikan. Layanan takeaway sangat lambat, perlu waktu 40 menit untuk menunggu pesanan siap, bandingkan dengan layanan 1 menit yg ",1,2018
Panji Satria,selalu rame tp sever/kasir cuma 1,1,2025
Marzuq shafari,"kecewa banget makan richeese 1 ekor, tapi ayam nya full darahjadi ga kemakan, dan cuma milih milihin kulit ayam yg gak kena darahjadi ga nafsu maka, pas liat darah masih ngocor di paha nya.",1,2024
Nur Hayati,"Parah, Pelayanannya sangat lelet",1,2024
Princess Atisah,Buat takewey ampe antri 30 menit,1,2025
Arina Anggraini,"Ayamnya kecil bgt bukan main,udh gtu lv 5 gada pedesnya sama sekali,yg tadinya BM bgt jadi bdmd seketika ",1,2024
tri wahyono,"Terlalu lama, dan lambat kerjanya.",1,2025
Puji Anastasya,"Tempat nya penuh bgt, dan jelek nya kalau ga ada tempat duduk lagi ga dikasih tauin pas mau bayar. Malah pas nanya disuruh lesehan coba  ",1,2018
Vina Chaerunisa,"Pelayanan lama saya udah nunggu dri jam set10 sampe jam 12 blm juga selesai ayam nya,tolong yang benar saja disuruh tunggu 1 jam tapi itu lebih dri 1 jam saya beli pake uang bukan minta yang bener dong",1,2024
Terektekdung 2020,"Udah ga enak kaya dulu, banyak alay. Wifi mati, AC Panas",1,2021
Channel Pinggir Kali,Sekitar 1 minggu lalu setelah maghrib makan d sana.Pesen di menu yg dlaminating.paket winger yg harga 40** +cream soup 10 rb Exclude. ,1,2023
Alief Warman,"Untuk restoran cepat saji, penyajiannya lama sekali. Setelah saya bayar, saya harus berdiri menunggu selama 20 menit. Padahal counter yg tersedia ada 2 untuk dine in, 2 untuk ojol. Tapi yg dipakai cuma 1 untuk masing2. Mengecewakan. Padahal ",1,2023
Imam Budi Santoso,Makan hampir 90rb tapi ayam'n udh kya d warteg,1,2022
Mohammad Ramdani,Pelayanan lama banget padahal sepi,1,2024
JustAGuy,"Minta ayam paha atas dapet aym paha bawah, lawak",1,2024
Filzah Ghaisani Azra Nasution,sudah antri lama tapi mesin edc BNI tidak ada dan tidak ada info dari awal,1,2024
Arif Hidayat,Gak rekomended. Terlalu banyak kebodohan kasir yg dilakukan. Ya bisa di bilang Tolol,1,2020
Gito Pane,"Kemarin makan disini dilayani sm 1 kasir cewe yg senior, judes minta ampun songong parah,  nyebelin bikin ga selera makan hahha persen harga makanan 150.000. ga lagi mau kesini kapokkkkkkk sedih deh jdny",1,2023
noor putriwijaya,"baru kali ini beli lewat gofood,ayamnya kecil bgt astaga.gak seperti biasanya.sudah seperti kasih makan kucing aja.level5 nya tidak pedas sama sekali ",1,2021
Rafi_rfsnzn 01,"Antrian kaga jelas manggil nomer antrian mana Orderan yang redy no berapa tolong di perbaik lagi dengan no antrian jangan menclak menclok  gajelas kaya bebek,",1,2024
oktaviya harani,buat yang mau order disni lewat app grab hati hati.paha bawah kosong. kl pesen 2 ayam diksh dada sama paha atas. alasannya selalu sama ayamnya belom dateng dari pusat  ,1,2021
Mr Review,Beberapa hari yg lalu saya makan Disana Pelayanannya kurang memuas kan karena saya salah memilih baris antriannya.kenapa karena PD saat saya mengantri untuk memesan di baris yg paling pendek antrian nya malah lebih lama Pelayanannya ,1,2020
Av,"Masukin motor, disodorin kartu parkir 3.000. Gw prefer batal makan disini. Mending kalo uangnya masuk kas DKI, lah ini cuma memperkaya preman parkir aja. Gw masih mampu makan seporsi makanan di Richeese 40rb. Tp kalo parkir ga masuk akal dan bikin gw ga ikhlas, mending makan di tempat lain  ",1,2022
Angga Dwi Putra,"Antrian panjang karena cashier cuma 1 untuk taking order, setelah selesai pembayaran masih tunggu lama lagi buat dapet makanannya. Nyesel makan disini ",1,2023
Syaiful Arianto,Pelayanannya kurang bagus masih ada yang harus d perbaji dalam pelayanannya apalagi d online banyak keluhan yg d berikan driver begitu tiba d resto lom d infut dan lom juga d buatkan makanannya,1,2023
toto darto,Pelayanaya payah beli satu ajah lamanya setengah mampus tolong di perbaiki pelayananya,1,2019
no name,Pesan lewat gofood order sudah di terima 30 belum juga di proses. Tidak usah resto super kalo pelayanan lama. Tolol,1,2024
Bambang Suharmadi,"Sangat tidak profesional. Mengadakan promo tapi tidak ada persiapan sama sekali, baik produk maupun SDM nya ... Sehingga antrian menumpuk, pelayanan sangat buruk. Lelet Lemot dsb",1,2020
david setiawan,Kaga kaya richeese utan kayu cepat banget kalau disini sih diutamakan yg makan ditempat orderan ojol terlalu diabaikan gila kalau emang kaga mau kerjain oderan ojol jangan kerjasama sama online ...,1,2023
Chwe,"Baru kali ini saya makan richeese di cempaka putih pelayanannya buruk tidak seperti di harapan indah,sudah tau antrian panjang pelayan nya tidak cekatan tidak cepat melayaninya apalagi untuk take away sudah setengah jam lebih nunggu tapi ",1,2019
Erich Fromm,"ada ya orang dipaksa beli paket, pdhl masih banyak ayamnya. orang disuruh nunggu lama  minta maaf saja tidak ada. shame on you",1,2023
Akhmad Holidin,Semakin kesini bukan nya semakin baik mlh semakin buruk udh Pelayanannya lama AC panas di tambah lagi sekarang klo beli di bawa pulang g di kasih kantong pokonya semakin ke sini semakin buruk deh saya sangat kecewa bgt.,1,2022
Dimas Aji Pratama,Disini rame bgt antri bgt sampe keluar... Dan kecewa karena disini di tulis bisa bayar cash dan debit man*iri tapi pas sampe depan kasir ternyata gak bisa bilangnya error... Kalo sewaktu itu error kan bisa di tutup bagian tulisab bayar debit man*iri nya.. Jadi gakk bikin orang kesel kalii udah lama ngantri lama pelayananya jugaa...,1,2018
Zacky Zacky,Pelayanan yg sangat buruk..Menyebabkan antrian panjang dan barang yg di pesan tidak selalu ready.Mohon ditinjau tuk resto ini agar bisa memaksimalkan pelayanan dan memuaskan pelanggan.,1,2019
Sherly Damayanti,"Pelayan nya kurang komunikasi dengan customer nya padahal masih mau milih malah langsung diinput pesenan nya, ditanya juga jawabnya singkat bgt padahal posisi lagi sepi bgt ",1,2020
lemanz yakiniku,Ini kenapa gak seperti richeese lain y pesen langsng di buatin malah antri...pdhl gak rame2 bgt..sumpah lama bgt cm pesen fire chicken doang...,1,2023
Awaliah Tina,"Aduh ini gimana sih masa saya minta level 5 gaada pedas2nya malah asam saus tomat, baru juga mau pilih2 udah maen input aja ini mas nya kurang komunikasi sama customer  Kecewa. ",1,2020
Sugiarto,"Dari tahun 2015 sampai sekarang, pelayanannya lambat sekali. Tidak ada perbaikan dalam memberikan pelayanan, membiarkan customer berdiri mengantri berlama lama.... Sampai kapan hal ini bisa di perbaiki..??",1,2020
Satria Putra,Secara saus pedas nya yang di cari costumer tapi hanya sedikit cuman membaluti ayam nya aja.coba untuk richeese lebih di perbanyak saus pedas nya itu lebih enak menurut saya.kalau saya minta lebihin saus nya ngak dikasih.,1,2020
Dipo Prasetyo,"Pesan pakai gofood, 3 combo 2 chicken. Pas dibuka 2 kotaknya semuanya ko hanya 1 ayamnya. Ini bisa ngilang kemana ya om?",1,2019
Porshe Yohanes,Barusan beli via ojek online..paket combo duo fire chicken..DPT 1 AYAM POTONGAN BESAR DAN 1 POTONGAN KECIL YG GA LAYAK banget DI JUAL AP LG DI KASIH KE KONSUMEN,1,2020
Alfian Hera,Tolong kalo pelayan buat online jangan lelet'giliran kita ngomong katanya bawel'giliran ditanya belum diapa2 in menunya.... Kita juga bayar bukan gratis..,1,2021
Muhamad Soufhan,Tempatnya kurang bersih .. banyak fasilitas tdk terawat.. kran cuci tangan rusak dan makanan bekas sering berserakan.. seperti kekurangan karyawan,1,2018
Galih Kharismawan,"Pelayanan lama, harga tidak sesuai dan prmo pun tidak di kasih tau dari kasirnya, di struknya juga tidak sama",1,2023
Egy Ariesta,"Wc jorok sekali, air buat cuci tangn lantai atas mati meja kurang bersih  playanan kurang baik tlong di perbaikin sprti pertama buka terimakasih",1,2018
Jajang Sugianto,Sangat di sayangkan proses pembuatan nya sangat terlalu lama Padahal resto siap saji  ,1,2023
aisyah,Pelayanannya jelek kasir ga sabaran,1,2024
Keluarga Imron,"Mengecewakan masa g dikasih saus dan keju nya,,pdhl itu yg bikin nikmat....Jd g bs nikmatin",1,2021
Sandi Indra Pratama,Payah delivery nya lemot mau nelfon aja susa di angkat payah gimana mau maju kalo pemesanaan nya lemot begini padahal enk ini makanan nya tp pelayanaan nya kurang,1,2017
Barid Firdaus,"Makin kesini makin lama nih resto, tolong dong buat atasan biar baca",1,2022
Adi Putra,"Untuk Go-Food , antrian umum dan driver nya tidak di pisahkan , di jadi satukan dengan umum.Jadi lama antrian nya , tidak memuaskan.",1,2018
fatchurrohman sukirno,Pelayanan sangat sangat sangat lambat..Dan yg paling fatal melayani sambil mengunyah makanan. ,1,2020
JB Guitar,Richeese disini gk konsisten menyajikan fire chicken. Kualitas levelnya menurun. Saya pesan level 4 kayak makan gula,1,2019
apri cute,"tempatnya kurang rapih, playananya kurang memperhatikan costumer ya mungkin karna rame x ya, apa lagi klo ga dapt bangku",1,2018
Oktosari Anjayani,Rasa enak anakku suka dan sayapun suka tetapi dalam ruangan terlalu panas seperti mkn diwarung biasa,1,2018
Syaif Al,Saya pesan combo duo fire chicken namun ketika datang ayamnya hanya satu. Terima kasih banyak,1,2019
encep boimod,Ditinggal cuci tangan meja sudah bersih padahal masih ada makananya ,1,2023
Achmad Junaidi,Pelayanannya lama & driver yg antri duluan malah di kasih belakangan,1,2020
kalista Yt kids,"Tempatnya kurang nyaman..Fasilitasnya kurang baik, tempatnya berantakan..",1,2022
angga syaifulloh,"Antrian selalu panjang,koordinasi worker kurang,luas tanah besar tapi tempat dine in kecil dan sangat kurang",1,2019
Eko Suharyanto,Parkir motor 3000. Padahal ga makan ditempatnya. Ga lama. Kalah parkiran mall,1,2020
Made Nugraha Kusumajaya,Pelayanan lama dan tempat kurang bersih ,1,2024
Just fun,Karyawannya tolong teliti saya pesen apa dikasih apa,1,2024
Ade Rival,Cara penyajian kurang gesit dan lama dan kurang profesional kinerjanya,1,2024
begang,"overload dan lama banget, kurang bersih  juga, dan tidak rapiseperti kurang kru  ",1,2023
Fadli Ramadhan,Parah servis timenya,1,2024
M. Aditama,"Ayam nya Kecil , pelayanan kurang, kurang enak juga. .Enak Krn ada keju",1,2017
Sutan Mudo,"WADUH NGANTRINYA KAYA ANTRIAN SEMBAKO, BIKIN LAPER JADI HILANGGA RECOMMENDED",1,2021
Wira Pramudya,Tolong bedain antriannya yaJangan bikin pelanggan kecewa ajg,1,2020
Sriwahyuni Zifo,Nunggu lama...makanan g ready...,1,2023
Herjuno Chondro,Pelayanan mengecewakan..  hanya menerima pembayaran BCA,1,2019
fachrul azmi nasution,LAMA BANGET GILAAAAAAA SI,1,2024
Muhammad Mirza Al-faridzi,Pelayanannya lama ga kaya di richeese tempat lain,1,2019
FR ANS,Gak ada senyum senyumnya taiiiik loo yg kerjaaa,1,2020
Zalfaadhia Rizky Naaila,pelayanan ga ramah RIBET  ,1,2023
pamungkas 92,Tempat cuci tanganya cuma 1 yg berfungsi,1,2018
Sudirja -,"Tempatnya kurang bersih , pelayanannya lama bangett",1,2019
annisa salsabila icha,"saya mesen 2ayam PAHA ATAS yg datang dada tulang semua. Tolong pegawai nya GAK TELITI. Saya telfon ga diangkat2. Baru kali ini mesen di cemput, biasa di utan kayu grgr tutup aja Nyesel",1,2020
Vivi Rosseyana,Pelayanannya judes gax ada senyum nya.,1,2018
Usi Rahmawati,"Crewnya ga ada senyumnya, hehe  ",1,2020
Nanang Efendi susanto,"Petugasnya dah bagus sigap,tapi kurang smile",1,2019
Ahmad Alimand,Masih bayar parkir,1,2020
gugun domezt,Tempat parkir kurang luas,1,2019
Adjie Maulana,Ngantrinya lama taeeeee,1,2018
Edy Susanto,Nunggu nya lama banget,1,2023
Prima Dwi Adhani,Pelayananya kurang memuaskan,1,2019
Muhammad Apriyansyah,Pelayanan kurang baik,1,2022
Damayanti Hermawan,Antriii nya lamaaaaa ,1,2018
Soraya Coy,ngak pham,1,2019
Angga Saputra,pelayananya burukk,1,2019
Nur Hayati,Biasa aja,1,2018
Tri Yono,Pelayanan kurang profesional,1,2020
tedi apriliyanto,Kebersihan nya kurangan,1,2020
hero jitsu,Kbnyakan saus,1,2021
Akhyar Gumilang,Gajelas,1,2018
M Syafril,Tidak tahu,1,2020
Plug Plug,Kasirnya cowok kulit gelap sangat tidak ramah... I,1,2025
baim fadhlan,"Kami menunggu lama dan tidak banyak orang yang kami tunggu selama 1 jam dan makanannya bahkan tidak hangat, dinginnya layanannya dan makanannya tidak sesuai dengan reputasinya ini akan menjadi yang pertama dan terakhir kali saya akan makan Di Sini",1,2024
Naz Bawazier,"terlalu ramai, seringkali mereka tidak menyelesaikan pesanan dengan sempurna. Saya sudah memesan 5 ayam untuk dibawa pulang, tetapi mereka hanya memberi saya 2 ayam.",1,2018
Wisnu Canal,sangat ramai. Sulit untuk parkir di sini.,1,2017
Khosy Prataya,terlalu ramai,1,2018
Abri Mayhendri,Ulasan Sangat Negative,1,2025
salwa audrey,Ulasan Sangat Negative,1,2024
krisedo rolansius,Ulasan Sangat Negative,1,2024
Bahril AS,Ulasan Sangat Negative,1,2024
Ayuswastika Tika,Ulasan Sangat Negative,1,2023
Iqmal Maulana,Ulasan Sangat Negative,1,2023
Jack Fuy,Ulasan Sangat Negative,1,2022
Bagus Pratama,Ulasan Sangat Negative,1,2022
ghea dini,Ulasan Sangat Negative,1,2022
Johan Triwiatmojo,Ulasan Sangat Negative,1,2022
Yayan Maryani,Ulasan Sangat Negative,1,2022
Rian Oktovian,Ulasan Sangat Negative,1,2021
Royke Pangau,Ulasan Sangat Negative,1,2021
Ulum Udin,Ulasan Sangat Negative,1,2021
Ahmad Syukri,Ulasan Sangat Negative,1,2020
Slamet Waloeyo,Ulasan Sangat Negative,1,2020
Ibnu Sina,Ulasan Sangat Negative,1,2020
Pujiatmiko,Ulasan Sangat Negative,1,2020
Yunardi Budi Santoso,Ulasan Sangat Negative,1,2020
Fitriani 69404,Ulasan Sangat Negative,1,2020
Danang Aji Pangestu,Ulasan Sangat Negative,1,2020
Des Fik,Ulasan Sangat Negative,1,2020
Sela Mat,Ulasan Sangat Negative,1,2020
Yolanda Winata,Ulasan Sangat Negative,1,2020
Eka riyanti,Ulasan Sangat Negative,1,2020
Sutrimo 999,Ulasan Sangat Negative,1,2020
Fajar Dwipa,Ulasan Sangat Negative,1,2020
Sam Suri,Ulasan Sangat Negative,1,2020
Kuntjoro Kuntjoro,Ulasan Sangat Negative,1,2020
Trisna Khaerul Alam,Ulasan Sangat Negative,1,2020
Adhi Priyatna,Ulasan Sangat Negative,1,2020
